pkg,checkdepends
archlinux-keyring,python-coverage
archlinux-keyring,python-pytest
autoconf,gcc-fortran
automake,dejagnu
automake,gcc-fortran
automake,java-environment
automake,vala
automake,emacs
automake,cscope
automake,expect
automake,ncompress
automake,gettext
automake,lzip
automake,zip
automake,sharutils
automake,help2man
automake,python
automake,python-virtualenv
binutils,dejagnu
binutils,debuginfod
binutils,bc
btrfs-progs,libaio
btrfs-progs,liburing
btrfs-progs,ripgrep
curl,valgrind
ding-libs,check
efivar,grub
fakeroot,sharutils
gcc,dejagnu
gcc,expect
gcc,inetutils
gcc,python-pytest
gcc,tcl
gcc-ada,dejagnu
gcc-ada,expect
gcc-ada,inetutils
gcc-ada,python-pytest
gcc-ada,tcl
gcc-d,dejagnu
gcc-d,expect
gcc-d,inetutils
gcc-d,python-pytest
gcc-d,tcl
gcc-fortran,dejagnu
gcc-fortran,expect
gcc-fortran,inetutils
gcc-fortran,python-pytest
gcc-fortran,tcl
gcc-go,dejagnu
gcc-go,expect
gcc-go,inetutils
gcc-go,python-pytest
gcc-go,tcl
gcc-libs,dejagnu
gcc-libs,expect
gcc-libs,inetutils
gcc-libs,python-pytest
gcc-libs,tcl
gcc-m2,dejagnu
gcc-m2,expect
gcc-m2,inetutils
gcc-m2,python-pytest
gcc-m2,tcl
gcc-objc,dejagnu
gcc-objc,expect
gcc-objc,inetutils
gcc-objc,python-pytest
gcc-objc,tcl
gcc-rust,dejagnu
gcc-rust,expect
gcc-rust,inetutils
gcc-rust,python-pytest
gcc-rust,tcl
glib2,desktop-file-utils
glib2,glib2
glib2-devel,desktop-file-utils
glib2-devel,glib2
glib2-docs,desktop-file-utils
glib2-docs,glib2
gnupg,openssh
gnutls,net-tools
gnutls,tpm2-tools
kmod,linux-headers
kmod,libelf
lib32-gcc-libs,dejagnu
lib32-gcc-libs,expect
lib32-gcc-libs,inetutils
lib32-gcc-libs,python-pytest
lib32-gcc-libs,tcl
libcurl-compat,valgrind
libcurl-gnutls,valgrind
libffi,dejagnu
libgccjit,dejagnu
libgccjit,expect
libgccjit,inetutils
libgccjit,python-pytest
libgccjit,tcl
libmicrohttpd,curl
libp11-kit,gnutls
libseccomp,valgrind
libsecret,gjs
libsecret,python-dbus
libsecret,python-gobject
libsecret,swtpm
libsecret,tpm2-abrmd
libsecret-docs,gjs
libsecret-docs,python-dbus
libsecret-docs,python-gobject
libsecret-docs,swtpm
libsecret-docs,tpm2-abrmd
libtool,gcc-fortran
lto-dump,dejagnu
lto-dump,expect
lto-dump,inetutils
lto-dump,python-pytest
lto-dump,tcl
lz4,diffutils
mkinitcpio,bats
mkinitcpio,bats-assert
mkinitcpio,lzop
nettle,valgrind
p11-kit,gnutls
p11-kit-docs,gnutls
pacman,fakechroot
pacman,python
perl,procps-ng
python-libseccomp,valgrind
tar,attr
tpm2-tss,iproute2
tpm2-tss,swtpm
tpm2-tss,uthash
accountsservice,glibc-locales
accountsservice,python-dbusmock
accountsservice,python-gobject
afew,python-freezegun
afl++,cmocka
aida-x,lv2lint
aida-x-clap,lv2lint
aida-x-lv2,lv2lint
aida-x-standalone,lv2lint
aida-x-vst,lv2lint
aida-x-vst3,lv2lint
aircrack-ng,cmocka
alacritty,ttf-dejavu
alot,procps-ng
alot,python-pytest
alsa-card-profiles,desktop-file-utils
alsa-card-profiles,openal
ambix,lv2lint
ambix-lv2,lv2lint
ambix-standalone,lv2lint
ambix-vst,lv2lint
amsynth,lv2lint
amsynth-common,lv2lint
amsynth-dssi,lv2lint
amsynth-lv2,lv2lint
amsynth-standalone,lv2lint
amsynth-vst,lv2lint
ansible-bender,python-flexmock
ansible-bender,python-pytest
ansible-core,git
ansible-core,openssh
ansible-core,python-bcrypt
ansible-core,python-botocore
ansible-core,python-passlib
ansible-core,python-pexpect
ansible-core,python-pytest
ansible-core,python-pytest-mock
ansible-core,python-pytest-xdist
ansible-core,python-pytest-forked
ansible-core,python-pywinrm
ansible-core,python-voluptuous
ansible-lint,mypy
ansible-lint,python-jmespath
ansible-lint,python-pylint
ansible-lint,python-pytest
ansible-lint,python-pytest-mock
apache-orc,gtest
apparmor,dejagnu
apparmor,perl-locale-gettext
apparmor,python-notify2
apparmor,python-psutil
apprise,dbus-python
apprise,python-paho-mqtt
apprise,python-pytest-mock
apt,systemd
apt-docs,systemd
arch-release-promotion,python-pytest
arch-signoff,python-pytest-pacman
arch-signoff,python-pytest
archiso,shellcheck
argbash,shellcheck
aria2,cppunit
asciidoc,dblatex
asciidoc,graphviz
asciidoc,lilypond
asciidoc,python-pytest
asciidoc,python-pytest-mock
asciidoc,source-highlight
asciidoctor-pdf,gsfonts
asciidoctor-pdf,poppler
asciidoctor-pdf,ruby-chunky_png
asciidoctor-pdf,ruby-coderay
