package,conflicts
"9base","9rc-devel"
"9base","plan9port"
"abiword","abiword-plugins"
"acl","xfsacl"
"acme","plan9port"
"acpi_call-dkms","acpi_call"
"acpi_call-lts","acpi_call-dkms"
"acpi_call","acpi_call-dkms"
"acpica","iasl"
"acpilight","xorg-xbacklight"
"afl++","afl"
"afl++","aflplusplus"
"aircrack-ng","aircrack-ng-scripts"
"akonadi-contacts5","akonadi-contacts<24"
"analitza","analitza5"
"ant-doc","apache-ant-doc"
"ant","apache-ant"
"apache","mod_proxy_uwsgi"
"appstream-glib","appdata-tools"
"appstream-qt5","appstream-qt<1"
"apptainer","singularity-container"
"arrow","parquet-cpp"
"aspell-pt","aspell-pt_br"
"aspnet-runtime","aspnet-runtime-8.0"
"aspnet-targeting-pack","aspnet-targeting-pack-8.0"
"at-spi2-core","at-spi2-atk<=2.38.0-2"
"at-spi2-core","atk<=2.38.0-2"
"atril","atril-gtk3"
"attica5","attica<5.111"
"attr","xfsattr"
"authoscope","badtouch"
"babel-cli","nodejs-babel-cli"
"babel-cli","openbabel<3"
"baidupcs-go","baidupcs"
"baloo","baloo5"
"banner","sysvbanner"
"bbswitch-dkms","bbswitch"
"bc","bc-readline"
"beanshell","beanshell2"
"bind","bind-tools"
"bind","dnsutils"
"binutils","binutils-multilib"
"blas-openblas","blas"
"blas-openblas","cblas"
"blas-openblas","lapack"
"blas-openblas","lapacke"
"blas-openblas","openblas-lapack"
"blas64-openblas","blas64"
"blas64-openblas","cblas64"
"blas64-openblas","lapack64"
"blas64-openblas","lapacke64"
"bluez-qt5","bluez-qt<5.111"
"bogofilter-db","bogofilter-kyotocabinet"
"bogofilter-db","bogofilter-lmdb"
"bogofilter-db","bogofilter-sqlite"
"bogofilter-kyotocabinet","bogofilter"
"bogofilter-kyotocabinet","bogofilter-db"
"bogofilter-kyotocabinet","bogofilter-lmdb"
"bogofilter-kyotocabinet","bogofilter-sqlite"
"bogofilter-lmdb","bogofilter"
"bogofilter-lmdb","bogofilter-db"
"bogofilter-lmdb","bogofilter-kyotocabinet"
"bogofilter-lmdb","bogofilter-sqlite"
"bogofilter-sqlite","bogofilter"
"bogofilter-sqlite","bogofilter-db"
"bogofilter-sqlite","bogofilter-kyotocabinet"
"bogofilter-sqlite","bogofilter-lmdb"
"boinc-nox","boinc"
"breeze5","breeze<5.27.80"
"breezy","bzr"
"broadcom-wl-dkms","broadcom-wl"
"btrfs-heatmap","python-btrfs-heatmap"
"btrfs-progs","btrfs-progs-unstable"
"bubblewrap-suid","bubblewrap"
"bullet-dp","bullet"
"ca-certificates-utils","ca-certificates-java"
"ca-certificates","ca-certificates-cacert<=20140824-4"
"caja-image-converter","caja-image-converter-gtk3"
"caja-open-terminal","caja-open-terminal-gtk3"
"caja-sendto","caja-sendto-gtk3"
"caja-share","caja-share-gtk3"
"caja-wallpaper","caja-wallpaper-gtk3"
"caja","caja-gtk3"
"calibre","calibre-common"
"calibre","calibre-python3"
"cardinal-standalone","cardinal-jack"
"cargo-show-asm","cargo-asm"
"catch2-v2","catch2"
"catch2","catch2-v2"
"ccls","ccls-git"
"cdemu-client","cdemu"
"cdrtools","cdrkit"
"charm","charm-tool"
"clang","clang-analyzer"
"clang","clang-tools-extra"
"clash-ghc","clash"
"cockatrice","cockatrice-client"
"cockatrice","cockatrice-server"
"codec2","freedv"
"coffeescript","coffee-script"
"coq","coq-nox"
"cpupower","cpufrequtils"
"cronie","cron"
"cryptsetup","mkinitcpio<38-1"
"dart-sass","ruby-sass"
"dbeaver","dbeaver-plugin-sshj-lib"
"dbus-broker-units","dbus-daemon-units"
"dbus-daemon-units","dbus-broker-units"
"dbus","libdbus"
"deepin-account-faces","dde-account-faces"
"deepin-anything-dkms","DEEPIN-ANYTHING-MODULE"
"deepin-control-center","dde-control-center"
"deepin-control-center","dde-dock-applets"
"deepin-daemon","dde-daemon"
"deepin-desktop-schemas","deepin-artwork-themes"
"deepin-file-manager","deepin-desktop"
"deepin-icon-theme","deepin-cursor-theme"
"deepin-screen-recorder","deepin-screenshot"
"deepin-session-shell","deepin-session-ui<5"
"deepin-sound-theme","deepin-artwork"
"deepin-terminal-gtk","deepin-terminal"
"deepin-terminal-gtk","deepin-terminal-old"
"distro-info","perl-distro-info"
"distro-info","python-distro-info"
"dleyna","dleyna-connector-dbus<=0.4.1-1"
"dleyna","dleyna-core<=0.7.0-3"
"dleyna","dleyna-renderer<=0.7.2-1"
"dleyna","dleyna-server<=0.7.2-1"
"dma","smtp-forwarder"
"dmraid","mkinitcpio<0.7"
"dnssec-tools","libsres"
"dnssec-tools","libval"
"dnssec-tools","libval_shim"
"docbook5-xml","docbook5-schemas"
"dos2unix","hd2u"
"dotnet-runtime","dotnet-runtime-8.0"
"dotnet-sdk","dotnet-sdk-8.0"
"dotnet-targeting-pack","dotnet-targeting-pack-8.0"
"doublecmd-gtk2","doublecmd-qt5"
"doublecmd-gtk2","doublecmd-qt6"
"doublecmd-qt5","doublecmd-gtk2"
"doublecmd-qt5","doublecmd-qt6"
"doublecmd-qt6","doublecmd-gtk2"
"doublecmd-qt6","doublecmd-qt5"
"dragonfly-reverb-standalone","dragonfly-reverb-jack"
"drone-oss","drone"
"drone","drone-oss"
"dropbear-scp","openssh"
"dtools","ddemangle"
"dtools","dustmite"
"dtools","rdmd"
"edk2-aarch64","edk2-armvirt<202211"
"edk2-ovmf","ovmf"
"emacs-nativecomp","emacs"
