a2jmidid,pro-audio
accerciser,gnome-extra
accessibility-inspector,kde-accessibility
accessibility-inspector,kde-applications
adljack,pro-audio
adlplug-lv2,lv2-plugins
adlplug-lv2,pro-audio
adlplug-standalone,pro-audio
adlplug-vst,pro-audio
adlplug-vst,vst-plugins
aeolus,pro-audio
agordejo,pro-audio
aida-x-clap,clap-plugins
aida-x-clap,pro-audio
aida-x-lv2,lv2-plugins
aida-x-lv2,pro-audio
aida-x-vst,pro-audio
aida-x-vst,vst-plugins
aida-x-vst3,pro-audio
aida-x-vst3,vst3-plugins
aj-snapshot,pro-audio
akonadi-calendar-tools,kde-applications
akonadi-calendar-tools,kde-pim
akonadi-import-wizard,kde-applications
akonadi-import-wizard,kde-pim
akonadiconsole,kde-applications
akonadiconsole,kde-pim
akregator,kde-applications
akregator,kde-pim
aliki,pro-audio
alligator,kde-applications
alligator,kde-network
amb-plugins,ladspa-plugins
amb-plugins,pro-audio
ambdec,pro-audio
ambix-lv2,lv2-plugins
ambix-lv2,pro-audio
ambix-standalone,pro-audio
ambix-vst,pro-audio
ambix-vst,vst-plugins
ams,pro-audio
amsynth-common,dssi-plugins
amsynth-common,lv2-plugins
amsynth-common,pro-audio
amsynth-common,vst-plugins
amsynth-dssi,dssi-plugins
amsynth-dssi,lv2-plugins
amsynth-dssi,pro-audio
amsynth-dssi,vst-plugins
amsynth-lv2,dssi-plugins
amsynth-lv2,lv2-plugins
amsynth-lv2,pro-audio
amsynth-lv2,vst-plugins
amsynth-standalone,dssi-plugins
amsynth-standalone,lv2-plugins
amsynth-standalone,pro-audio
amsynth-standalone,vst-plugins
amsynth-vst,dssi-plugins
amsynth-vst,lv2-plugins
amsynth-vst,pro-audio
amsynth-vst,vst-plugins
amsynth,dssi-plugins
amsynth,lv2-plugins
amsynth,pro-audio
amsynth,vst-plugins
angelfish,kde-applications
angelfish,kde-network
arca,maui
arch-rebuild-order,archlinux-tools
arch-repro-status,archlinux-tools
arch-signoff,archlinux-tools
ardour,pro-audio
arduino-cli,arduino
arianna,kde-applications
arianna,kde-graphics
ark,kde-applications
ark,kde-utilities
artikulate,kde-applications
artikulate,kde-education
artyfx,lv2-plugins
artyfx,pro-audio
atril,mate-extra
attica,kf6
attica5,kf5
aubio,pro-audio
audacity,pro-audio
audex,kde-applications
audex,kde-multimedia
audiocd-kio,kde-applications
audiocd-kio,kde-multimedia
audiotube,kde-applications
audiotube,kde-multimedia
avldrums.lv2,lv2-plugins
avldrums.lv2,pro-audio
baloo,kf6
baobab,gnome
bchoppr,lv2-plugins
bchoppr,pro-audio
bespokesynth,pro-audio
blinken,kde-applications
blinken,kde-education
blop,ladspa-plugins
blop,pro-audio
blop.lv2,lv2-plugins
blop.lv2,pro-audio
bluedevil,plasma
bluez-qt,kf6
bluez-qt5,kf5
bomber,kde-applications
bomber,kde-games
bootconfig,linux-tools
bovo,kde-applications
bovo,kde-games
bpf,linux-tools
breeze-gtk,plasma
breeze-icons,kf6
breeze-plymouth,plasma
breeze,plasma
browserpass-firefox,firefox-addons
bsequencer,lv2-plugins
bsequencer,pro-audio
bshapr,lv2-plugins
bshapr,pro-audio
bslizr,lv2-plugins
bslizr,pro-audio
budgie-backgrounds,budgie
budgie-control-center,budgie
budgie-desktop-view,budgie
budgie-desktop,budgie
budgie-screensaver,budgie
budgie-session,budgie
buho,maui
caja-actions,mate-extra
caja-audio-video-properties,mate-extra
caja-image-converter,mate-extra
caja-open-terminal,mate-extra
caja-sendto,mate-extra
caja-share,mate-extra
caja-wallpaper,mate-extra
caja-xattr-tags,mate-extra
caja,mate
calf,lv2-plugins
calf,pro-audio
cantor,kde-applications
cantor,kde-education
capnet-assist,pantheon
caps,ladspa-plugins
caps,pro-audio
cardinal-clap,clap-plugins
cardinal-clap,pro-audio
cardinal-lv2,lv2-plugins
cardinal-lv2,pro-audio
cardinal-standalone,pro-audio
cardinal-vst,pro-audio
cardinal-vst,vst-plugins
cardinal-vst3,pro-audio
cardinal-vst3,vst3-plugins
carla,pro-audio
cervisia,kde-applications
cervisia,kde-sdk
cheese,gnome-extra
chuck,pro-audio
cmctl,kubectl-plugins
cmt,ladspa-plugins
cmt,pro-audio
coin-or-asl,coin-or
coin-or-cbc,coin-or
coin-or-cgl,coin-or
coin-or-clp,coin-or
coin-or-coinutils,coin-or
coin-or-data-sample,coin-or
coin-or-mp,coin-or
coin-or-osi,coin-or
colord-kde,kde-applications
colord-kde,kde-graphics
communicator,maui
contractor,pantheon
coq-doc,coq
coq,coq
coqide,coq
cosmic-app-library,cosmic
cosmic-applets,cosmic
cosmic-bg,cosmic
cosmic-comp,cosmic
cosmic-files,cosmic
cosmic-greeter,cosmic
cosmic-idle,cosmic
cosmic-launcher,cosmic
cosmic-notifications,cosmic
cosmic-osd,cosmic
cosmic-panel,cosmic
cosmic-randr,cosmic
cosmic-screenshot,cosmic
cosmic-session,cosmic
cosmic-settings-daemon,cosmic
cosmic-settings,cosmic
cosmic-store,cosmic
cosmic-terminal,cosmic
cosmic-text-editor,cosmic
cosmic-wallpapers,cosmic
cosmic-workspaces,cosmic
cpupower,linux-tools
crictl,kubernetes-tools
critest,kubernetes-tools
csound-plugins,pro-audio
csound,pro-audio
csoundqt,pro-audio
cutefish-calculator,cutefish
cutefish-core,cutefish
cutefish-dock,cutefish
cutefish-filemanager,cutefish
cutefish-icons,cutefish
cutefish-launcher,cutefish
cutefish-qt-plugins,cutefish
cutefish-screenlocker,cutefish
cutefish-settings,cutefish
cutefish-statusbar,cutefish
cutefish-terminal,cutefish
cutefish-wallpapers,cutefish
d-spy,gnome-extra
dcd,dlang
dconf-editor,gnome-extra
deepin-account-faces,deepin
deepin-album,deepin-extra
deepin-anything,deepin
deepin-api,deepin
deepin-app-services,deepin
deepin-appearance,deepin
deepin-application-manager,deepin
deepin-boot-maker,deepin-extra
deepin-calculator,deepin-extra
deepin-calendar,deepin
deepin-camera,deepin-extra
deepin-clipboard,deepin-extra
deepin-clone,deepin-extra
deepin-community-wallpapers,deepin-extra
deepin-compressor,deepin-extra
deepin-control-center,deepin
deepin-daemon,deepin
deepin-desktop-base,deepin
deepin-desktop-schemas,deepin
deepin-desktop-theme,deepin
deepin-device-formatter,deepin-extra
deepin-draw,deepin-extra
deepin-editor,deepin-extra
deepin-file-manager,deepin
deepin-font-manager,deepin-extra
deepin-grand-search,deepin-extra
deepin-gtk-theme,deepin
deepin-icon-theme,deepin
deepin-image-viewer,deepin
deepin-menu,deepin
deepin-movie,deepin-extra
deepin-music,deepin-extra
deepin-network-core,deepin
deepin-network-utils,deepin
deepin-picker,deepin-extra
deepin-polkit-agent-ext-gnomekeyring,deepin
