0ad-data,svenstaro
0ad,svenstaro
389-ds-base,svenstaro
3cpio,tpowa
4ti2,arojas
6tunnel,anthraxx
9base,lfleischer
a2jmidid,dvzrv
a2ps,alerque
a52dec,bgyorgy
aalib,bgyorgy
aarch64-linux-gnu-binutils,anatolik
aarch64-linux-gnu-gcc,anatolik
aarch64-linux-gnu-gdb,anatolik
aarch64-linux-gnu-glibc,anatolik
aarch64-linux-gnu-linux-api-headers,anatolik
aardvark-dns,dvzrv
abc,felixonmars
abduco,eworm
abiword,bgyorgy
abletonlink,dvzrv
abseil-cpp,mtorromeo
abseil-cpp,gromit
abuild,Antiz
accerciser,heftig
accessibility-inspector,arojas
accounts-qml-module,arojas
accountsservice,heftig
acl,eworm
acme-redirect,kpcyrd
acme-tiny,svenstaro
acme-user,Archange
acme,arodseth
acme.sh,felixonmars
acorn,felixonmars
acpi,orhun
acpi_call-dkms,eworm
acpi_call-dkms,coderobe
acpi_call-lts,alucryd
acpi_call,alucryd
acpica,Archange
acpica,lcarlier
acpid,Foxboron
acpid,coderobe
acpilight,coderobe
acsccid,Archange
act,orhun
actionlint,orhun
actionlint,Antiz
activity-log-manager,bgyorgy
ada,svenstaro
adapta-gtk-theme,alucryd
add-determinism,kpcyrd
adguardhome,anonfunc
adios2,Archange
adios2,Lahwaacz
adljack,dvzrv
adlplug-lv2,dvzrv
adlplug-standalone,dvzrv
adlplug-vst,dvzrv
adlplug,dvzrv
adns,felixonmars
adobe-source-code-pro-fonts,heftig
adobe-source-han-sans-cn-fonts,felixonmars
adobe-source-han-sans-hk-fonts,felixonmars
adobe-source-han-sans-jp-fonts,felixonmars
adobe-source-han-sans-kr-fonts,felixonmars
adobe-source-han-sans-otc-fonts,felixonmars
adobe-source-han-sans-tw-fonts,felixonmars
adobe-source-han-serif-cn-fonts,felixonmars
adobe-source-han-serif-hk-fonts,felixonmars
adobe-source-han-serif-jp-fonts,felixonmars
adobe-source-han-serif-kr-fonts,felixonmars
adobe-source-han-serif-otc-fonts,felixonmars
adobe-source-han-serif-tw-fonts,felixonmars
adobe-source-sans-fonts,heftig
