pkgname,pkgbase,repo,arch,pkgver,pkgrel,epoch,pkgdesc,url,filename,compressed_size,installed_size,build_date,last_update,flag_date,packager
"0ad-data","0ad-data","extra","any","a26","2","0","Cross-platform, 3D and historically-based real-time strategy game (data files)","http://play0ad.com/","0ad-data-a26-2-any.pkg.tar.zst","1484576658","3306902345","2024-07-16T20:11:24Z","2024-07-16T21:02:14.232Z","null","blakkheim"
"0ad","0ad","extra","x86_64","a26","17","0","Cross-platform, 3D and historically-based real-time strategy game","http://play0ad.com/","0ad-a26-17-x86_64.pkg.tar.zst","14759487","48707024","2024-09-07T14:07:59Z","2024-09-12T17:07:14.272Z","null","carsme"
"3cpio","3cpio","extra","x86_64","0.3.2","1","0","Manage Linux kernel initramfs cpio files written in Rust","https://github.com/bdrung/3cpio","3cpio-0.3.2-1-x86_64.pkg.tar.zst","216717","531822","2024-08-20T20:17:03Z","2024-08-20T20:19:18.092Z","null","tpowa"
"4ti2","4ti2","extra","x86_64","1.6.10","3","0","A software package for algebraic, geometric and combinatorial problems on linear spaces","https://4ti2.github.io/","4ti2-1.6.10-3-x86_64.pkg.tar.zst","970236","3280361","2024-07-01T16:45:38Z","2024-07-01T16:47:54.456Z","null","arojas"
"6tunnel","6tunnel","extra","x86_64","0.13","3","0","Tunnels IPv6 connections for IPv4-only applications","https://github.com/wojtekka/6tunnel","6tunnel-0.13-3-x86_64.pkg.tar.zst","12243","32510","2024-07-11T21:24:00Z","2024-07-11T21:27:42.185Z","null","blakkheim"
"9base","9base","extra","x86_64","6","9","0","Port of various original Plan9 tools to unix","https://tools.suckless.org/9base","9base-6-9-x86_64.pkg.tar.zst","746746","4384779","2024-09-06T18:42:19Z","2024-09-06T18:45:07.574Z","null","arojas"
"389-ds-base","389-ds-base","extra","x86_64","3.1.1","1","0","389 Directory Server (base)","http://port389.org/","389-ds-base-3.1.1-1-x86_64.pkg.tar.zst","6527173","44254901","2024-10-27T06:29:18Z","2024-10-27T06:34:36.546Z","null","svenstaro"
"a2jmidid","a2jmidid","extra","x86_64","9","5","0","A daemon for exposing legacy ALSA sequencer applications in JACK MIDI system.","https://github.com/linuxaudio/a2jmidid","a2jmidid-9-5-x86_64.pkg.tar.zst","31782","98488","2024-07-11T21:25:58Z","2024-07-11T21:27:42.625Z","null","blakkheim"
"a2ps","a2ps","extra","x86_64","4.15.6","1","0","An Any to PostScript filter","https://www.gnu.org/software/a2ps","a2ps-4.15.6-1-x86_64.pkg.tar.zst","707608","3832998","2024-03-14T09:53:55Z","2024-03-19T15:08:13.424Z","null","alerque"
"a52dec","a52dec","extra","x86_64","0.8.0","2","0","Library for decoding ATSC A/52 (AC-3) audio streams","https://git.adelielinux.org/community/a52dec/","a52dec-0.8.0-2-x86_64.pkg.tar.zst","47432","139305","2023-06-02T14:06:10Z","2023-06-02T14:08:57.891Z","null","bgyorgy"
