package,provides
"9base","plan9"
"389-ds-base","libsvrcore.so=0-64"
"accountsservice","libaccountsservice.so=0-64"
"acl","libacl.so=1-64"
"acl","xfsacl"
"acpi_call-dkms","acpi_call=1.2.2-2"
"acpi_call-lts","acpi_call"
"acpica","iasl"
"acpilight","xorg-xbacklight"
"adobe-source-sans-fonts","adobe-source-sans-pro-fonts=3.052"
"adobe-source-serif-fonts","adobe-source-serif-pro-fonts=4.005"
"afl++","afl"
"aircrack-ng","aircrack-ng-scripts"
"alsa-lib","libasound.so=2-64"
"alsa-lib","libatopology.so=2-64"
"alsa-oss","libalsatoss.so=0-64"
"alsa-oss","libaoss.so=0-64"
"alsa-tools","alsa-tools-emu10k1"
"alsa-tools","alsa-tools-ice1712"
"alsa-tools","liblo10k1.so=0-64"
"amdvlk","vulkan-driver"
"aml","libaml.so=0-64"
"amule","amule-daemon"
"ansible-core","ansible-base"
"ansible-core","python-ansible"
"ansible","python-ansible_collections"
"ant","apache-ant"
"antlr4-runtime","libantlr4-runtime.so=4.13.2-64"
"antlr4","antlr=4.13.2"
"aom","libaom.so=3-64"
"apache","mod_proxy_uwsgi"
"apparmor","libapparmor.so=1-64"
"appstream-glib","appdata-tools"
"appstream-glib","libappstream-glib.so=8-64"
"aquamarine","libaquamarine.so=4-64"
"archinstall","python-archinstall"
"ardour","ladspa-host"
"ardour","lv2-host"
"ardour","vamp-host"
"ardour","vst-host"
"ardour","vst3-host"
"argocd","argocd-cli"
"argon2","libargon2.so=1-64"
"aribb25","libaribb25.so=0-64"
"arpack","arpack-ng"
"arrow","parquet-cpp"
"aspell","libaspell.so=15-64"
"aspell","libpspell.so=15-64"
"aspnet-runtime","aspnet-runtime-8.0"
"aspnet-targeting-pack","aspnet-targeting-pack-8.0"
"at-spi2-core","at-spi2-atk=2.54.0-2"
"at-spi2-core","atk=2.54.0-2"
"at-spi2-core","libatk-1.0.so=0-64"
"at-spi2-core","libatk-bridge-2.0.so=0-64"
"at-spi2-core","libatspi.so=0-64"
"atkmm-2.36","libatkmm-2.36.so=1-64"
"atkmm","libatkmm-1.6.so=1-64"
"attr","libattr.so=1-64"
"attr","xfsattr"
"aubio","libaubio.so=5-64"
"audacity","ladspa-host"
"audacity","lv2-host"
"audacity","vamp-host"
"audacity","vst-host"
"audacity","vst3-host"
"audiofile","libaudiofile.so=1-64"
"audit","libaudit.so=1-64"
"audit","libauparse.so=0-64"
"authoscope","badtouch"
"avahi","libavahi-client.so=3-64"
"avahi","libavahi-common.so=3-64"
"avahi","libavahi-core.so=7-64"
"avahi","libavahi-glib.so=1-64"
"avahi","libavahi-gobject.so=0-64"
"avahi","libavahi-libevent.so=1-64"
"avahi","libavahi-qt5.so=1-64"
"avahi","libavahi-ui-gtk3.so=0-64"
"avahi","libdns_sd.so=1-64"
"avisynthplus","libavisynth.so=10-64"
"awesome","notification-daemon"
"babel-cli","nodejs-babel-cli"
"baidupcs-go","baidupcs"
"bash","sh"
"bats","bats-core"
"bbswitch-dkms","bbswitch"
"bcc","bcc"
"bcc","libbcc"
"beanshell","bsh"
"bemenu-ncurses","bemenu-renderer"
"bemenu-wayland","bemenu-renderer"
"bemenu-x11","bemenu-renderer"
"bemenu","libbemenu.so=0-64"
"bespokesynth","vst3-host"
"biblesync","libbiblesync.so=2.1.0-64"
"bind","bind-tools"
"bind","dns-server"
"bind","dnsutils"
"binutils","libctf.so=0-64"
"binutils","libgprofng.so=0-64"
"binutils","libsframe.so=1-64"
"bitcoin-daemon","bitcoin-cli"
"blas-openblas","blas=3.12.0"
"blas-openblas","cblas=3.12.0"
"blas-openblas","lapack=3.12.0"
"blas-openblas","lapacke=3.12.0"
"blas-openblas","openblas-lapack=0.3.28"
"blas64-openblas","blas64=3.12.0"
"blas64-openblas","cblas64=3.12.0"
"blas64-openblas","lapack64=3.12.0"
"blas64-openblas","lapacke64=3.12.0"
"bluez-libs","libbluetooth.so=3-64"
"bluez-utils","bluez-plugins"
"bogofilter-db","bogofilter"
"bogofilter-kyotocabinet","bogofilter"
"bogofilter-lmdb","bogofilter"
"bogofilter-sqlite","bogofilter"
"boinc-nox","boinc"
"boost-libs","libboost_atomic.so=1.86.0-64"
"boost-libs","libboost_charconv.so=1.86.0-64"
"boost-libs","libboost_chrono.so=1.86.0-64"
"boost-libs","libboost_cobalt.so=1.86.0-64"
"boost-libs","libboost_container.so=1.86.0-64"
"boost-libs","libboost_context.so=1.86.0-64"
"boost-libs","libboost_contract.so=1.86.0-64"
"boost-libs","libboost_coroutine.so=1.86.0-64"
"boost-libs","libboost_date_time.so=1.86.0-64"
"boost-libs","libboost_fiber.so=1.86.0-64"
"boost-libs","libboost_filesystem.so=1.86.0-64"
"boost-libs","libboost_graph.so=1.86.0-64"
"boost-libs","libboost_graph_parallel.so=1.86.0-64"
"boost-libs","libboost_iostreams.so=1.86.0-64"
"boost-libs","libboost_json.so=1.86.0-64"
"boost-libs","libboost_locale.so=1.86.0-64"
"boost-libs","libboost_log.so=1.86.0-64"
"boost-libs","libboost_log_setup.so=1.86.0-64"
"boost-libs","libboost_math_c99.so=1.86.0-64"
"boost-libs","libboost_math_c99f.so=1.86.0-64"
"boost-libs","libboost_math_c99l.so=1.86.0-64"
"boost-libs","libboost_math_tr1.so=1.86.0-64"
"boost-libs","libboost_math_tr1f.so=1.86.0-64"
"boost-libs","libboost_math_tr1l.so=1.86.0-64"
"boost-libs","libboost_mpi.so=1.86.0-64"
"boost-libs","libboost_mpi_python312.so=1.86.0-64"
"boost-libs","libboost_nowide.so=1.86.0-64"
"boost-libs","libboost_numpy312.so=1.86.0-64"
"boost-libs","libboost_prg_exec_monitor.so=1.86.0-64"
"boost-libs","libboost_process.so=1.86.0-64"
"boost-libs","libboost_program_options.so=1.86.0-64"
"boost-libs","libboost_python312.so=1.86.0-64"
"boost-libs","libboost_random.so=1.86.0-64"
"boost-libs","libboost_regex.so=1.86.0-64"
"boost-libs","libboost_serialization.so=1.86.0-64"
"boost-libs","libboost_stacktrace_addr2line.so=1.86.0-64"
"boost-libs","libboost_stacktrace_basic.so=1.86.0-64"
"boost-libs","libboost_stacktrace_from_exception.so=1.86.0-64"
"boost-libs","libboost_stacktrace_noop.so=1.86.0-64"
"boost-libs","libboost_system.so=1.86.0-64"
"boost-libs","libboost_thread.so=1.86.0-64"
"boost-libs","libboost_timer.so=1.86.0-64"
"boost-libs","libboost_type_erasure.so=1.86.0-64"
"boost-libs","libboost_unit_test_framework.so=1.86.0-64"
"boost-libs","libboost_url.so=1.86.0-64"
"boost-libs","libboost_wave.so=1.86.0-64"
