package,replaces
"389-ds-base","python-lib389"
"abiword","abiword-plugins"
"acl","xfsacl"
"acpica","iasl"
"acpid","acpid2"
"adobe-source-sans-fonts","adobe-source-sans-pro-fonts<=3.028-1"
"adobe-source-serif-fonts","adobe-source-serif-pro-fonts<=4.004-1"
"afl++","afl"
"afl++","aflplusplus"
"aircrack-ng","aircrack-ng-scripts"
"analitza","analitza5"
"ansible-core","ansible-base"
"ant-doc","apache-ant-doc"
"ant","apache-ant"
"apache","mod_proxy_uwsgi"
"appstream-glib","appdata-tools"
"appstream-qt5","appstream-qt<1"
"apptainer","singularity-container"
"arc-gtk-theme","gtk-theme-arc"
"arc-solid-gtk-theme","gtk-theme-arc-solid"
"argocd","argocd-cli"
"argtable","argtable-docs"
"aspell-pt","aspell-pt_br"
"at-spi2-core","at-spi2-atk<=2.38.0-2"
"at-spi2-core","atk<=2.38.0-2"
"atril","atril-gtk3"
"attica5","attica<5.111"
"attr","xfsattr"
"authoscope","badtouch"
"avidemux-qt","avidemux-gtk"
"babel-cli","nodejs-babel-cli"
"baloo","baloo5"
"bats-assert","bash-bats-assert"
"bats-support","bash-bats-support"
"bats","bash-bats"
"bc","bc-readline"
"beanshell","beanshell2"
"bind","bind-tools"
"bind","dnsutils"
"bind","host"
"binutils","binutils-multilib"
"bird","bird6"
"bitcoin-daemon","bitcoin-cli"
"blas-openblas","openblas-lapack"
"bluez-qt5","bluez-qt<5.111"
"bluez-utils","bluez-plugins"
"bogofilter-db","bogofilter"
"borg","borgbackup"
"breeze5","breeze<5.27.80"
"breezy","bzr"
"btrfs-heatmap","python-btrfs-heatmap"
"btrfs-progs","btrfs-progs-unstable"
"byacc","byacc-noconflict"
"ca-certificates-utils","ca-certificates-java"
"ca-certificates","ca-certificates-cacert<=20140824-4"
"cairo-dock-plug-ins","cairo-dock-plugins"
"caja-image-converter","caja-image-converter-gtk3"
"caja-open-terminal","caja-open-terminal-gtk3"
"caja-sendto","caja-sendto-gtk3"
"caja-share","caja-share-gtk3"
"caja-wallpaper","caja-wallpaper-gtk3"
"caja","caja-gtk3"
"calibre","calibre-common"
"calibre","calibre-python3"
"cardinal-standalone","cardinal-jack"
"cargo-pgrx","cargo-pgx"
"cdrtools","cdrkit"
"celluloid","gnome-mpv"
"certbot-apache","letsencrypt-apache"
"certbot","letsencrypt"
"charm","charm-tool"
"clang","clang-analyzer"
"clang","clang-tools-extra"
"cockpit","cockpit-pcp"
"coffeescript","coffee-script"
"colord","shared-color-profiles"
"coq","coq-nox"
"cotp-converters","cotp-bin"
"cotp","cotp-bin"
"cpupower","cpufrequtils"
"cuda","cuda-sdk"
"cuda","cuda-static"
"cuda","cuda-toolkit"
"cyrus-sasl-gssapi","cyrus-sasl-plugins"
"cyrus-sasl-ldap","cyrus-sasl-plugins"
"cyrus-sasl-sql","cyrus-sasl-plugins"
"cython","cython-dev"
"dbeaver","dbeaver-plugin-sshj-lib"
"dbus","libdbus"
"deepin-account-faces","dde-account-faces"
"deepin-anything-arch","deepin-anything-module"
"deepin-control-center","dde-control-center"
"deepin-control-center","dde-dock-applets"
"deepin-daemon","dde-daemon"
"deepin-desktop-schemas","deepin-artwork-themes"
"deepin-file-manager","deepin-desktop"
"deepin-icon-theme","deepin-cursor-theme"
"deepin-terminal-gtk","deepin-terminal-old"
"deepin-voice-note","deepin-voice-recorder"
"deluge-gtk","deluge<2.0.4.dev23+g2f1c008a2-2"
"devtools","devtools-git-poc"
"diesel-cli","diesel_cli"
"dleyna","dleyna-connector-dbus<=0.4.1-1"
"dleyna","dleyna-core<=0.7.0-3"
"dleyna","dleyna-renderer<=0.7.2-1"
"dleyna","dleyna-server<=0.7.2-1"
"docbook5-xml","docbook5-schemas"
"dog","dog-dns"
"dool","dstat"
"doublecmd-qt5","doublecmd-qt"
"doublecmd-qt5","doublecmd-qt4"
"dragonfly-reverb-standalone","dragonfly-reverb-jack"
"dtkwidget","deepin-tool-kit"
"dysk","lfs"
"easyeffects","pulseeffects"
"ecm-tools","ecm"
"edk2-aarch64","edk2-armvirt<202211"
"edk2-ovmf","ovmf"
"efl","elementary"
"efl","emotion_generic_players"
"efl","evas_generic_loaders"
"element-desktop","riot-desktop"
"element-web","riot-web"
"element-web","vector-web"
"endeavour","gnome-todo<=41.0+r106+gebc68374-1"
"engrampa","engrampa-gtk3"
"enter-tex","gnome-latex"
"eom","eom-gtk3"
"erlang-cl","cl"
"esbonio","python-esbonio"
"eslint-language-server","vscode-eslint-language-server"
"espeak-ng","espeak-ng-espeak"
"espflash","cargo-espflash"
"exfat-utils","fuse-exfat"
"eza","exa"
"facter","cpp-hocon"
"facter","leatherman"
"facter","libwhereami"
"farstream","farsight2"
"fcitx-mozc","mozc-fcitx"
"fcitx","fcitx-gtk2"
"fcitx","fcitx-gtk3"
"fcitx5-configtool","kcm-fcitx5"
"fcitx5-mozc","mozc-fcitx"
"fcitx5-nord","fcitx5-nord-dark"
"feeluown","feeluown-local"
"festival-english","festival-kallpc16k"
"festival-english","festival-rablpc16k"
"festival-us","festival-awb-arctic"
"fig2dev","transfig"
"firefox-extension-passff","firefox-passff"
"flatpak-builder","flatpak<0.9.10"
"flint","antic"
"flint","arb"
"fluxcd","fluxctl"
"fontconfig","fontconfig-docs<2:2.13.93-1"
"foomatic-db","foomatic-db-foo2zjs"
"frameworkintegration5","frameworkintegration<5.111"
"freepats-general-midi","timidity-freepats"
"fuse2","fuse"
"futuresql","futuresql-qt6"
"gambas3-dev-tools","gambas3-devel"
"gambas3-gb-poppler","gambas3-gb-pdf"
"gambas3-ide","gambas3-examples"
"gap","gap-doc"
"gcc-ada","gcc-ada-multilib"
"gcc-d","gdc"
"gcc-fortran","gcc-fortran-multilib"
"gcc-go","gcc-go-multilib"
"gcc-libs","gcc-libs-multilib"
"gcc-libs","libgphobos"
"gcc-objc","gcc-objc-multilib"
"gcc","gcc-multilib"
"gcolor3","gcolor3-xorg"
"gcompris-qt","gcompris"
"gcompris-qt","gcompris-data"
"gearmand","gearman"
"geoclue","geoclue2"
"geoipupdate","geoip2-database"
"ghc-libs","haskell-array"
"ghc-libs","haskell-base"
"ghc-libs","haskell-binary"
"ghc-libs","haskell-bytestring"
"ghc-libs","haskell-cabal"
"ghc-libs","haskell-containers"
"ghc-libs","haskell-deepseq"
"ghc-libs","haskell-directory"
"ghc-libs","haskell-exceptions"
"ghc-libs","haskell-filepath"
"ghc-libs","haskell-ghc-bignum"
"ghc-libs","haskell-ghc-boot"
"ghc-libs","haskell-ghc-boot-th"
"ghc-libs","haskell-ghc-compact"
"ghc-libs","haskell-ghc-heap"
"ghc-libs","haskell-ghc-pkg"
"ghc-libs","haskell-ghc-prim"
"ghc-libs","haskell-ghci"
"ghc-libs","haskell-haskeline"
"ghc-libs","haskell-hpc"
"ghc-libs","haskell-integer-gmp"
"ghc-libs","haskell-libiserv"
"ghc-libs","haskell-mtl"
"ghc-libs","haskell-parsec"
"ghc-libs","haskell-pretty"
"ghc-libs","haskell-process"
"ghc-libs","haskell-stm"
"ghc-libs","haskell-template-haskell"
"ghc-libs","haskell-terminfo"
"ghc-libs","haskell-text"
"ghc-libs","haskell-time"
"ghc-libs","haskell-transformers"
"ghc-libs","haskell-unix"
"ghc-libs","haskell-xhtml"
"ghc","haskell-ghc"
"ghc","haskell-haddock"
"ghc","haskell-hp2ps"
"ghc","haskell-hpc-bin"
"ghc","haskell-hsc2hs"
"gimp-nufraw","gimp-ufraw"
"girara","girara-common"
"girara","girara-gtk3"
"gitlab-runner","gitlab-ci-multi-runner"
"gitlab","gitlab-workhorse"
"gitleaks","gitleaks-bin"
"glab","gitlab-glab"
"glfw","glfw-doc"
"glfw","glfw-wayland"
"glfw","glfw-x11"
"glide","glide-player"
"gnome-builder","gnome-builder-clang<=46.1-4"
"gnome-builder","gnome-builder-flatpak<=46.1-4"
"gnome-notes","bijiben"
"gnome-themes-extra","gnome-themes-standard<3.27.92"
"gnu-efi","gnu-efi-libs"
"gnu-free-fonts","ttf-freefont<=20120503-5"
"gnu-netcat","netcat"
"gnuradio-iqbal","gr-iqbal"
"gnuradio-osmosdr","gr-osmosdr"
"go-ethereum","geth"
"go","go-pie"
"gpicview","gpicview-gtk3"
"gptfdisk","gdisk"
"grub-theme-vimix","vimix-grub"
"grub","grub-bios"
"grub","grub-common"
"grub","grub-efi-x86_64"
"grub","grub-emu"
"gtest","gmock"
"gtk-engines","lighthouse-gtk2"
"gtk3","gtk3-print-backends<=3.22.26-1"
"guitarix","guitarix2"
"gutenprint","gimp-print"
"gvfs","gvfs-afp"
"gvfs","gvfs-obexftp"
"handlr-regex","handlr"
"haskell-cairo","gtk2hs-cairo"
"haskell-glib","gtk2hs-glib"
"haskell-gtk2hs-buildtools","gtk2hs-buildtools"
"haskell-gtk3","gtk2hs-gtk"
"haskell-gtk3","haskell-gtk"
"haskell-pango","gtk2hs-pango"
"haskell-tidal","tidalcycles"
"hdf5-openmpi","hdf5-openmpi-java"
"hdf5","hdf5-java"
"hip-runtime-amd","hip"
"hledger-web","hledger-api"
"hlint","haskell-hlint"
"httpie","python-httpie"
"httpie","python2-httpie"
"hunspell-en_au","hunspell-en_AU<=2020.12.07-1"
"hunspell-en_ca","hunspell-en_CA<=2020.12.07-1"
"hunspell-en_gb","hunspell-en_GB<=2020.12.07-1"
"hunspell-en_us","hunspell-en_US<=2020.12.07-1"
"hunspell-es_any","hunspell-es"
"hwdata","hwids"
"i3-wm","i3"
"i3-wm","i3-gaps"
"i3-wm","i3bar"
"iaito","r2cutter"
"ijq","ijq-bin"
"imagemagick","imagemagick-doc"
"inadyn","inadyn-fork"
"intel-gmmlib","gmmlib"
"intel-graphics-compiler","intel-opencl-clang"
"intel-oneapi-mkl","intel-mkl"
"intel-oneapi-mkl","intel-mkl-static"
"intel-ucode","microcode_ctl"
"iptraf-ng","iptraf"
"iputils","netkit-base"
"irssi","irssi-otr"
"jami-qt","jami-gnome"
"jami-qt","jami-libclient"
"java-rxtx","rxtx"
"jdk8-openjdk","jdk8-openjdk-wm"
"jenkins","jenkins-ci"
"jre8-openjdk-headless","jre8-openjdk-headless-wm"
"jre8-openjdk","jre8-openjdk-wm"
"jujutsu","jujutsu-bin"
"jumpy","fishfight"
"jupyter-collaboration","jupyter-server-ydoc"
"jupyter-console","jupyter_console"
"jupyter-notebook","jupyter-retrolab"
"jupyterlab-pygments","jupyterlab_pygments"
"jupyterlab-widgets","jupyter-widgetsnbextension"
"kactivities-stats5","kactivities-stats<5.111"
"kactivities5","kactivities<5.111"
"kakoune-lsp","kak-lsp"
"kamene","scapy3k"
"karchive5","karchive<5.111"
"kate","kwrite"
"kauth5","kauth<5.111"
"kbd","vlock"
"kbookmarks5","kbookmarks<5.111"
