pkg,depends
acl,glibc
archlinux-keyring,pacman
argon2,glibc
attr,glibc
audit,glibc
audit,krb5
audit,libkrb5.so
audit,libgssapi_krb5.so
audit,libcap-ng
audit,libcap-ng.so
autoconf,awk
autoconf,m4
autoconf,diffutils
autoconf,perl
autoconf,sh
automake,perl
automake,bash
b43-fwcutter,glibc
base,filesystem
base,gcc-libs
base,glibc
base,bash
base,coreutils
base,file
base,findutils
base,gawk
base,grep
base,procps-ng
base,sed
base,tar
base,gettext
base,pciutils
base,psmisc
base,shadow
base,util-linux
base,bzip2
base,gzip
base,xz
base,licenses
base,pacman
base,archlinux-keyring
base,systemd
base,systemd-sysvcompat
base,iputils
base,iproute2
base-devel,archlinux-keyring
base-devel,autoconf
base-devel,automake
base-devel,binutils
base-devel,bison
base-devel,debugedit
base-devel,fakeroot
base-devel,file
base-devel,findutils
base-devel,flex
base-devel,gawk
base-devel,gcc
base-devel,gettext
base-devel,grep
base-devel,groff
base-devel,gzip
base-devel,libtool
base-devel,m4
base-devel,make
base-devel,pacman
base-devel,patch
base-devel,pkgconf
base-devel,sed
base-devel,sudo
base-devel,texinfo
base-devel,which
bash,readline
bash,libreadline.so
bash,glibc
bash,ncurses
binutils,glibc
binutils,jansson
binutils,libelf
binutils,zlib
binutils,zstd
bison,gettext
bison,glibc
bison,m4
bison,sh
brotli,glibc
btrfs-progs,glibc
btrfs-progs,libgcrypt
btrfs-progs,lzo
btrfs-progs,systemd-libs
btrfs-progs,util-linux-libs
btrfs-progs,zlib
btrfs-progs,zstd
bzip2,glibc
bzip2,sh
ca-certificates,ca-certificates-mozilla
ca-certificates-mozilla,ca-certificates-utils
ca-certificates-utils,bash
ca-certificates-utils,coreutils
ca-certificates-utils,findutils
ca-certificates-utils,p11-kit
coreutils,acl
coreutils,attr
coreutils,glibc
coreutils,gmp
coreutils,libcap
coreutils,openssl
cracklib,glibc
cracklib,zlib
cryptsetup,device-mapper
cryptsetup,libdevmapper.so
cryptsetup,openssl
cryptsetup,popt
cryptsetup,util-linux-libs
cryptsetup,libuuid.so
cryptsetup,json-c
cryptsetup,libjson-c.so
cryptsetup,argon2
cryptsetup,libargon2.so
curl,ca-certificates
curl,brotli
curl,libbrotlidec.so
curl,krb5
curl,libgssapi_krb5.so
curl,libidn2
curl,libidn2.so
curl,libnghttp2
curl,libnghttp2.so
curl,libnghttp3
curl,libnghttp3.so
curl,libpsl
curl,libpsl.so
curl,libssh2
curl,libssh2.so
curl,zlib
curl,libz.so
curl,zstd
curl,libzstd.so
curl,openssl
curl,libcrypto.so
curl,libssl.so
dash,glibc
dash,libedit
dash,libedit.so
db,gcc-libs
db,sh
db5.3,gcc-libs
db5.3,sh
dbus,audit
dbus,libcap-ng
dbus,expat
dbus,systemd-libs
dbus,libaudit.so
dbus,libcap-ng.so
dbus,libexpat.so
dbus,libsystemd.so
dbus-broker,audit
dbus-broker,libcap-ng
dbus-broker,expat
dbus-broker,systemd-libs
dbus-broker,libaudit.so
dbus-broker,libcap-ng.so
dbus-broker,libexpat.so
dbus-broker,libsystemd.so
dbus-broker-units,dbus
dbus-broker-units,dbus-broker
dbus-daemon-units,dbus
dbus-units,dbus-broker-units
debugedit,glibc
debugedit,libelf
