pkg,licenses
acl,LGPL
amd-ucode,custom
archlinux-keyring,GPL-3.0-or-later
argon2,Apache
argon2,custom:CC0
attr,LGPL
audit,GPL-2.0-or-later
audit,LGPL-2.0-or-later
autoconf,GPL2
autoconf,GPL3
autoconf,custom
automake,GPL
b43-fwcutter,GPL-2.0-only
base,GPL
base-devel,GPL
bash,GPL-3.0-or-later
binutils,GPL-2.0-or-later
binutils,GPL-3.0-or-later
binutils,LGPL-2.0-or-later
binutils,LGPL-3.0-or-later
binutils,GFDL-1.3
binutils,FSFAP
bison,GPL-3.0-or-later
brotli,MIT
brotli-testdata,MIT
btrfs-progs,GPL-2.0-only
bzip2,BSD
ca-certificates,GPL-2.0-or-later
ca-certificates-mozilla,MPL-2.0
ca-certificates-utils,GPL-2.0-or-later
coreutils,GPL-3.0-or-later
coreutils,GFDL-1.3-or-later
cracklib,GPL-2.0-or-later
cryptsetup,GPL
curl,MIT
dash,BSD
db,AGPL3
db5.3,custom:sleepycat
dbus,AFL-2.1 OR GPL-2.0-or-later
dbus-broker,Apache-2.0
dbus-broker-units,Apache-2.0
dbus-daemon-units,AFL-2.1 OR GPL-2.0-or-later
dbus-docs,AFL-2.1 OR GPL-2.0-or-later
dbus-units,CC0-1.0
debugedit,GPL-3.0-or-later
debugedit,GPL-2.0-or-later
debugedit,LGPL-2.0-or-later
debuginfod,GPL-3.0-or-later
device-mapper,GPL2
device-mapper,LGPL2.1
dialog,LGPL2.1
diffutils,GPL3
ding-libs,GPL-3.0-or-later
ding-libs,LGPL-3.0-or-later
dmraid,GPL-2.0-only
dnssec-anchors,custom:none
dosfstools,GPL-3.0-or-later
e2fsprogs,GPL
e2fsprogs,LGPL
e2fsprogs,MIT
efibootmgr,GPL-2.0-or-later
efivar,LGPL-2.1-or-later
elfutils,GPL-3.0-or-later
expat,MIT
fakeroot,GPL
file,custom
filesystem,GPL-3.0-or-later
findutils,GPL-3.0-or-later
flex,custom
fuse2fs,GPL
fuse2fs,LGPL
fuse2fs,MIT
gawk,GPL-3.0-or-later
gc,LicenseRef-GC
gc,MIT
gcc,GPL-3.0-with-GCC-exception
gcc,GFDL-1.3-or-later
gcc-ada,GPL-3.0-with-GCC-exception
gcc-ada,GFDL-1.3-or-later
gcc-d,GPL-3.0-with-GCC-exception
gcc-d,GFDL-1.3-or-later
gcc-fortran,GPL-3.0-with-GCC-exception
gcc-fortran,GFDL-1.3-or-later
gcc-go,GPL-3.0-with-GCC-exception
gcc-go,GFDL-1.3-or-later
gcc-libs,GPL-3.0-with-GCC-exception
gcc-libs,GFDL-1.3-or-later
gcc-m2,GPL-3.0-with-GCC-exception
gcc-m2,GFDL-1.3-or-later
gcc-objc,GPL-3.0-with-GCC-exception
gcc-objc,GFDL-1.3-or-later
gcc-rust,GPL-3.0-with-GCC-exception
gcc-rust,GFDL-1.3-or-later
gdbm,GPL-3.0-or-later
gettext,GFDL-1.2-only
gettext,GPL-2.0-only
gettext,GPL-2.0-or-later
gettext,LGPL-2.0-only
glib2,LGPL-2.1-or-later
glib2-devel,LGPL-2.1-or-later
glib2-docs,LGPL-2.1-or-later
glib2-docs,LicenseRef-Public-Domain
glibc,GPL-2.0-or-later
glibc,LGPL-2.1-or-later
glibc-locales,GPL-2.0-or-later
glibc-locales,LGPL-2.1-or-later
gmp,GPL-2.0-or-later
gmp,LGPL-3.0-or-later
gnupg,BSD-2-Clause
gnupg,BSD-3-Clause
gnupg,BSD-4-Clause
gnupg,CC0-1.0
gnupg,GPL-2.0-or-later
gnupg,GPL-3.0-or-later
gnupg,LGPL-2.1-or-later
gnupg,LGPL-3.0-or-later OR GPL-2.0-or-later
gnupg,MIT
gnupg,Unicode-TOU
gnutls,GPL-3.0-or-later AND LGPL-2.1-or-later
gpgme,GPL-2.0-or-later
gpgme,LGPL-2.0-or-later
gpgme,LGPL-2.1-or-later
gpgme,MIT
