pkg,optdepends
audit,libldap
audit,sh
base,linux
bash,bash-completion
binutils,debuginfod
btrfs-progs,python
btrfs-progs,e2fsprogs
debuginfod,elfutils
e2fsprogs,lvm2
e2fsprogs,util-linux
e2fsprogs,smtp-forwarder
gcc,lib32-gcc-libs
gettext,git
glib2,dconf
glib2,glib2-devel
glib2,gvfs
glibc,gd
glibc,perl
gnupg,pcsclite
gnutls,tpm2-tss
groff,netpbm
groff,psutils
groff,libxaw
groff,perl-file-homedir
grub,dosfstools
grub,efibootmgr
grub,freetype2
grub,fuse3
grub,libisoburn
grub,lzop
grub,mtools
grub,os-prober
gzip,less
gzip,util-linux
gzip,diffutils
iproute2,db5.3
iproute2,linux-atm
iproute2,python
ldns,libpcap
libevent,python
libsecret,org.freedesktop.secrets
libxml2,python
links,libx11
links,libtiff
links,libpng
links,librsvg
linux,linux-firmware
linux,scx-scheds
linux,wireless-regdb
linux-lts,wireless-regdb
linux-lts,linux-firmware
man-db,gzip
mdadm,bash
mkinitcpio,gzip
mkinitcpio,xz
mkinitcpio,bzip2
mkinitcpio,lzop
mkinitcpio,lz4
mkinitcpio,mkinitcpio-nfs-utils
ncurses,bash
nfs-utils,sqlite
nfs-utils,python
openssl,ca-certificates
openssl,perl
pacman,base-devel
pacman,perl-locale-gettext
patch,ed
pciutils,which
pciutils,grep
pciutils,curl
pcre2,sh
pinentry,gcr
pinentry,gtk3
pinentry,qt5-x11extras
pinentry,kwayland5
pinentry,kguiaddons
pinentry,kwindowsystem
python,python-setuptools
python,python-pip
python,python-pipx
python,sqlite
python,xz
python,tk
s-nail,smtp-forwarder
syslinux,perl-crypt-passwdmd5
syslinux,perl-digest-sha1
syslinux,mtools
syslinux,gptfdisk
syslinux,util-linux
syslinux,efibootmgr
syslinux,dosfstools
systemd,libmicrohttpd
systemd,quota-tools
systemd,systemd-sysvcompat
systemd,systemd-ukify
systemd,polkit
systemd,curl
systemd,gnutls
systemd,qrencode
systemd,iptables
systemd,libarchive
systemd,libbpf
systemd,libpwquality
systemd,libfido2
systemd,libp11-kit
systemd,tpm2-tss
systemd-ukify,python-pillow
systemd-ukify,sbsigntools
texinfo,perl-archive-zip
tzdata,bash
tzdata,glibc
usbutils,coreutils
usbutils,python
usbutils,sh
util-linux,words
util-linux-libs,python
vi,s-nail
xfsprogs,icu
xfsprogs,python
xfsprogs,smtp-forwarder
389-ds-base,cockpit
3cpio,bzip2
3cpio,lz4
3cpio,lzop
3cpio,xz
3cpio,zstd
a2jmidid,bash
a2jmidid,python-dbus
aalib,xorg-fonts-misc
aalib,xorg-mkfontscale
abiword,libwmf
abiword,libwpg
abiword,libwps
abiword,link-grammar
abiword,telepathy-glib
abuild,atools
abuild,perl
abuild,perl-libwww
abuild,perl-json
abuild,perl-module-build-tiny
abuild,perl-lwp-protocol-https
abuild,ruby
abuild,ruby-augeas
acme.sh,socat
acme.sh,oath-toolkit
acpid,perl
act,docker
actionlint,python-pyflakes
actionlint,shellcheck
adapta-gtk-theme,gtk-engine-murrine
adapta-gtk-theme,noto-fonts
adapta-gtk-theme,ttf-roboto
adios2,python-numpy
adlplug-standalone,new-session-manager
aerc,dante
aerc,python
aerc,w3m
afl-utils,sqlite
afl-utils,screen
afl-utils,gdb
agda,agda-stdlib
age-plugin-tkey,age
age-plugin-tkey,rage-encryption
age-plugin-yubikey,age
age-plugin-yubikey,rage-encryption
aisleriot,pysolfc-cardsets
aisleriot,pysolfc
akonadi,postgresql
akonadi-import-wizard,kdepim-addons
akregator,kdepim-addons
alacritty,ncurses
algernon,mariadb
algernon,ollama
algernon,postgresql
algernon,redis
algol68g,postgresql-libs
algol68g-doc,postgresql-libs
alpine-chroot-install,qemu-user
alpine-chroot-install,qemu-user-binfmt-provider
alsa-oss,bash
alsa-plugins,dbus
alsa-plugins,ffmpeg
alsa-plugins,jack
alsa-plugins,libavtp
alsa-plugins,libsamplerate
alsa-plugins,libpulse
alsa-plugins,speexdsp
alsa-tools,fltk
alsa-tools,gtk2
alsa-tools,gtk3
alsa-tools,python-pyalsa
alsa-tools,python-gobject
alsa-utils,bash
alsa-utils,fftw
amavisd-new,arj
amavisd-new,lrzip
amavisd-new,lz4
amavisd-new,lzo
amavisd-new,p7zip
amavisd-new,unrar
amavisd-new,rpmextract
amberol,gst-libav
