pkg,provides
acl,xfsacl
acl,libacl.so
argon2,libargon2.so
attr,xfsattr
attr,libattr.so
audit,libaudit.so
audit,libauparse.so
bash,sh
binutils,libctf.so
binutils,libgprofng.so
binutils,libsframe.so
brotli,libbrotlicommon.so
brotli,libbrotlidec.so
brotli,libbrotlienc.so
btrfs-progs,btrfs-progs-unstable
bzip2,libbz2.so
ca-certificates-utils,ca-certificates
ca-certificates-utils,ca-certificates-java
cryptsetup,libcryptsetup.so
curl,libcurl.so
dbus,libdbus
dbus,libdbus-1.so
dbus-broker-units,dbus-units
dbus-daemon-units,dbus-units
device-mapper,libdevmapper.so
device-mapper,libdevmapper-event.so
dialog,libdialog.so
e2fsprogs,libcom_err.so
e2fsprogs,libe2p.so
e2fsprogs,libext2fs.so
e2fsprogs,libss.so
efivar,libefiboot.so
efivar,libefisec.so
efivar,libefivar.so
expat,libexpat.so
file,libmagic.so
gawk,awk
gcc,gcc-multilib
gcc-ada,gcc-ada-multilib
gcc-d,gdc
gcc-fortran,gcc-fortran-multilib
gcc-go,go
gcc-go,gcc-go-multilib
gcc-libs,gcc-libs-multilib
gcc-libs,libgo.so
gcc-libs,libgfortran.so
gcc-libs,libgphobos.so
gcc-libs,libubsan.so
gcc-libs,libasan.so
gcc-libs,libtsan.so
gcc-libs,liblsan.so
gcc-objc,gcc-objc-multilib
gdbm,libgdbm_compat.so
gdbm,libgdbm.so
glib2,libglib-2.0.so
glib2,libgio-2.0.so
glib2,libgirepository-2.0.so
glib2,libgmodule-2.0.so
glib2,libgobject-2.0.so
glib2,libgthread-2.0.so
gpgme,libgpgme.so
gpgme,libgpgmepp.so
gpm,libgpm.so
grub,grub-bios
grub,grub-common
grub,grub-efi-x86_64
grub,grub-emu
icu,libicudata.so
icu,libicui18n.so
icu,libicuio.so
icu,libicutest.so
icu,libicutu.so
icu,libicuuc.so
iproute2,iproute
iptables,libip4tc.so
iptables,libip6tc.so
iptables,libipq.so
iptables,libxtables.so
iptables-nft,libip4tc.so
iptables-nft,libip6tc.so
iptables-nft,libipq.so
iptables-nft,libxtables.so
iptables-nft,iptables
iptables-nft,arptables
iptables-nft,ebtables
json-c,libjson-c.so
kbd,vlock
keyutils,libkeyutils.so
kmod,libkmod.so
krb5,libgssapi_krb5.so
krb5,libgssrpc.so
krb5,libk5crypto.so
krb5,libkadm5clnt_mit.so
krb5,libkadm5srv_mit.so
krb5,libkdb5.so
krb5,libkdb_ldap.so
krb5,libkrad.so
krb5,libkrb5.so
krb5,libkrb5support.so
ldns,drill
ldns,libldns.so
lib32-gcc-libs,libgo.so
lib32-gcc-libs,libgfortran.so
lib32-gcc-libs,libubsan.so
lib32-gcc-libs,libasan.so
libaio,libaio.so
libarchive,libarchive.so
libassuan,libassuan.so
